Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
84224,23.158001,83449,88727,412,196683633
84352,23.150002,83776,88247,308,196960660
84480,23.179001,83414,88479,427,197176110
84608,23.170002,84095,90121,369,197432440
84736,23.271002,83544,94289,369,197794983
84864,23.236002,83843,89648,361,198071841
84992,23.447001,84454,86572,463,198366385
85120,23.443001,83858,86934,382,198816433
85248,23.481001,84314,87619,368,199106697
85376,23.437000,84880,86451,757,199519524
85504,23.512001,85002,94769,339,199715188
85632,23.515001,85676,87274,340,200046724
85760,23.649002,85234,91615,451,200551213
85888,23.662001,84876,85620,406,200826565
86016,23.672001,86291,89575,484,201333716
86144,23.733002,86112,90903,315,201720643
86272,23.684002,85632,91137,384,202055898
86400,23.810001,86051,89265,337,202477390
86528,23.984001,85736,90817,605,202979924
86656,23.863001,86661,89723,321,203254638
86784,23.981001,86793,94444,248,203638024
86912,23.912001,87193,94464,250,203858465
87040,23.998001,87041,96092,496,204297619
87168,24.038002,87322,94884,409,204620991
87296,24.072001,87678,91861,389,205005605
87424,24.094002,87710,96129,354,205374506
87552,24.166000,88053,94188,430,205787333
87680,24.154001,87865,96913,597,206012706
87808,24.265001,88331,98172,491,206414928
87936,24.267002,88064,99198,512,206680256
88064,24.275002,89314,94092,421,207054218
88192,24.314001,88646,93867,608,207384379
88320,24.392002,89448,98586,724,207725018
88448,24.698975,88997,97386,684,208141329
88576,24.440001,88629,96775,635,208401996
88704,24.550001,88467,92983,546,208828021
88832,24.615002,89542,98448,585,209201223
88960,24.665001,90167,97122,523,209603473
89088,24.663002,90252,90567,692,209929320
89216,24.699001,90358,98790,493,210280927
89344,24.667002,89720,94811,450,210612654
89472,24.716002,90498,92517,486,210900997
89600,24.738001,90745,97499,497,211310580
